remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:33:18 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,VB20_1:I,"","SM:EX260_SEN1:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB20_1:O,"","SM:EX260_SEN1:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_14:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_14:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_14:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_765:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_765:I,"","AB:ETHERNET_MODULE_SINT_25Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_765:O,"","AB:ETHERNET_MODULE_SINT_18Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IV2_CAM10_801_16:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IV2_CAM10_801_16:I,"","AB:ETHERNET_MODULE_DINT_112Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IV2_CAM10_801_16:O,"","AB:ETHERNET_MODULE_DINT_12Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB21_2:I,"","SM:EX260_SEN1:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB21_2:O,"","SM:EX260_SEN1:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_11:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_11:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_11:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV11_700:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV11_700:I,"","AB:ETHERNET_MODULE_INT_32Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV11_700:O,"","AB:ETHERNET_MODULE_INT_32Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_700:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_700:I,"","AB:ETHERNET_MODULE_INT_32Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_700:O,"","AB:ETHERNET_MODULE_INT_32Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_16:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_16:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_16:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_2:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_2:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_2:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_17:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_17:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_17:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
