remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:32:11 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MagneMotion,a,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,active_vehicle_id,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,arrived_station_id,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,CleanoutPallets,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Cold_Modules_In_Automation,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,cold_start_service,"","udt_MMI_cold_start_service","","(Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,confirm_cleanout_PB,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Confirm_Cleanout_Test,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,confirm_Pallet_cleanout,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Destination_Mold1,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Destination_Mold2,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Dest_Mold1_active,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Dest_Mold2_active,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,dest_station_id,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,GeneralTimers,"","TIMER[10]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,half,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,hlc_link_monitor_timer,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,hlc_link_status,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Homing_Pallets,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,i,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Init_station_positions,"","REAL[40]","","(RADIX := Float, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,loc,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,magnemotion1_ons,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,magnemotion2_ons,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,magnemotion_ons,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MagneMotion_Pallet_Blocked,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MagneMotion_PosEdit,"","REAL[35]","","(RADIX := Float, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MagneMotion_Ready,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,master_command_count,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,max_motor_id,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,max_nc_id,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,max_path_id,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,max_station_id,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,max_vehicle_id,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Memory_SendMold1,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Memory_SendMold2,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MFPC_AOI,"","MMI_Format_Path_Command","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MFPO_AOI,"","MMI_Format_Position_Order","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MIS_AOI,"","MMI_Init_station","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_CMD_ACCEPTED,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_CMD_COMPLETE,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_CMD_IN_PROGRESS,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_DIRECTION_BACKWARD,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_DIRECTION_BIDIRECTIONAL,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_DIRECTION_FORWARD,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_JOYSTICK_DISABLE_COMMAND,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_JOYSTICK_ENABLE_COMMAND,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_NODE_DEVICE_STATUS_FAULTED,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
