Station,Command,Actual,TrackLocation
Preload Roller,5.5,5.5,Top Main Rail
Preload Roller A,6.5,6.5,Top Main Rail
Preload Pins,7.3164,7.3164,Top Main Rail
Pre Insp Act.,7.813,7.813,Top Main Rail
Insp 1 Act.,7.479,7.479,Top Main Rail
Insp 2 Act.,7.53,7.53,Top Main Rail
Inspection 3,7.581,7.581,Top Main Rail
Roller Test 1,7.813,7.813,Top Main Rail
Roller Test 2,8.054,8.054,Top Main Rail
Roller Test 3,8.293,8.293,Top Main Rail
Roller Test 4,8.631,8.631,Top Main Rail
Roller Test 5,8.872,8.872,Top Main Rail
Roller Test 6,9.112,9.112,Top Main Rail
Preload 1,9.4,9.4,Top Main Rail
Offload,9.9438,9.9438,Top Main Rail
Post Offload,9.65,9.65,Top Main Rail
Mold 1 Pre-Load 3,2.65,2.65,Right Vertical Loop
Mold 1 Pre-Load 2,2.75,2.75,Right Vertical Loop
Mold 1 Pre-Load 1,3.0,3.0,Right Vertical Loop
Mold 1 Load 1,3.012,3.012,Right Vertical Loop
Mold 1 Load 2,3.405,3.405,Right Vertical Loop
Mold 1 Cooling,4.5,4.5,Right Vertical Loop
Mold 2 Pre-Load 3,2.65,2.65,Left Vertical Loop
Mold 2 Pre-Load 2,2.75,2.75,Left Vertical Loop
Mold 2 Pre-Load 1,3.0,3.0,Left Vertical Loop
Mold 2 Load 1,3.062,3.062,Left Vertical Loop
Mold 2 Load 2,3.405,3.405,Left Vertical Loop
Mold 2 Cooling,4.4,4.4,Left Vertical Loop
HOME / Cold Start,4.5,4.5,Middle Connector
Cleanout,0.15,0.15,Middle Connector
